# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, -0.000000
0.020017, 0.000082, 0.000031
0.040066, 0.000164, 0.000063
0.060149, 0.000247, 0.000094
0.080266, 0.000330, 0.000126
0.100416, 0.000413, 0.000158
0.120599, 0.000497, 0.000190
0.140817, 0.000581, 0.000222
0.161067, 0.000665, 0.000255
0.181352, 0.000751, 0.000287
0.201671, 0.000837, 0.000320
0.222023, 0.000924, 0.000354
0.242410, 0.001011, 0.000387
0.262831, 0.001100, 0.000421
0.283286, 0.001189, 0.000456
0.303775, 0.001280, 0.000491
0.324299, 0.001372, 0.000527
0.344857, 0.001465, 0.000563
0.365449, 0.001559, 0.000600
0.386077, 0.001655, 0.000637
0.406739, 0.001753, 0.000675
0.427436, 0.001852, 0.000714
0.448168, 0.001953, 0.000754
0.468935, 0.002056, 0.000794
0.489737, 0.002162, 0.000836
0.510574, 0.002269, 0.000878
0.531447, 0.002379, 0.000922
0.552355, 0.002492, 0.000967
0.573298, 0.002607, 0.001014
0.594277, 0.002726, 0.001061
0.615292, 0.002848, 0.001111
0.636342, 0.002973, 0.001162
0.657428, 0.003102, 0.001215
0.678550, 0.003236, 0.001270
0.699708, 0.003374, 0.001327
0.720903, 0.003517, 0.001386
0.742133, 0.003665, 0.001448
0.763400, 0.003819, 0.001513
0.784703, 0.003979, 0.001582
0.806042, 0.004146, 0.001653
0.827418, 0.004321, 0.001729
0.848831, 0.004504, 0.001809
0.870280, 0.004696, 0.001893
0.891767, 0.004898, 0.001983
0.913290, 0.005112, 0.002079
0.934850, 0.005338, 0.002182
0.956448, 0.005577, 0.002292
0.978083, 0.005832, 0.002410
0.999755, 0.006104, 0.002538
1.021464, 0.006395, 0.002677
1.043211, 0.006706, 0.002828
1.064996, 0.007042, 0.002992
1.086818, 0.007404, 0.003171
1.108678, 0.007794, 0.003366
1.130576, 0.008217, 0.003580
1.152512, 0.008674, 0.003813
1.174487, 0.009167, 0.004067
1.196499, 0.009701, 0.004343
1.218550, 0.010276, 0.004640
1.240639, 0.010895, 0.004957
1.262767, 0.011559, 0.005294
1.284933, 0.012272, 0.005649
1.307138, 0.013034, 0.006019
1.329382, 0.013847, 0.006403
1.351664, 0.014714, 0.006797
1.373986, 0.015634, 0.007199
1.396347, 0.016607, 0.007608
1.418747, 0.017633, 0.008022
1.441186, 0.018707, 0.008440
1.463665, 0.019826, 0.008859
1.486184, 0.020984, 0.009280
1.508742, 0.022173, 0.009701
1.531339, 0.023385, 0.010124
1.553977, 0.024614, 0.010547
1.576655, 0.025852, 0.010972
1.599372, 0.027092, 0.011399
1.622130, 0.028329, 0.011827
1.644928, 0.029558, 0.012257
1.667767, 0.030777, 0.012688
1.690646, 0.031985, 0.013120
1.713565, 0.033182, 0.013551
1.736525, 0.034367, 0.013981
1.759526, 0.035540, 0.014409
1.782568, 0.036699, 0.014835
1.805651, 0.037844, 0.015257
1.828776, 0.038971, 0.015674
1.851941, 0.040080, 0.016084
1.875148, 0.041168, 0.016486
1.898396, 0.042238, 0.016879
1.921686, 0.043293, 0.017259
1.945017, 0.044337, 0.017629
1.968391, 0.045376, 0.017987
1.991806, 0.046418, 0.018337
2.015263, 0.047468, 0.018680
2.038763, 0.048535, 0.019018
2.062305, 0.049626, 0.019356
2.085889, 0.050750, 0.019693
2.109515, 0.051916, 0.020031
2.133184, 0.053134, 0.020371
2.156896, 0.054409, 0.020710
2.180651, 0.055746, 0.021048
2.204449, 0.057148, 0.021382
2.228289, 0.058612, 0.021711
2.252173, 0.060136, 0.022035
2.276101, 0.061711, 0.022350
2.300071, 0.063327, 0.022654
2.324086, 0.064970, 0.022943
2.348143, 0.066626, 0.023207
2.372245, 0.068284, 0.023436
2.396391, 0.069931, 0.023612
2.420580, 0.071558, 0.023717
2.444814, 0.073157, 0.023733
2.469092, 0.074719, 0.023643
2.493414, 0.076231, 0.023441
2.517781, 0.077679, 0.023124
2.542192, 0.079037, 0.022698
2.566649, 0.080272, 0.022173
2.591150, 0.081338, 0.021559
2.615696, 0.082177, 0.020867
2.640287, 0.082724, 0.020104
2.664923, 0.082913, 0.019283
2.689605, 0.082682, 0.018415
2.714332, 0.081984, 0.017517
2.739105, 0.080795, 0.016607
2.763924, 0.079113, 0.015703
2.788789, 0.076964, 0.014821
2.813699, 0.074396, 0.013978
2.838656, 0.071474, 0.013185
2.863659, 0.068278, 0.012450
2.888708, 0.064887, 0.011779
2.913804, 0.061382, 0.011173
2.938946, 0.057835, 0.010633
2.964135, 0.054310, 0.010155
2.989371, 0.050863, 0.009734
3.014654, 0.047543, 0.009360
3.039985, 0.044392, 0.009026
3.065362, 0.041449, 0.008722
3.090787, 0.038746, 0.008438
3.116260, 0.036306, 0.008172
3.141780, 0.034140, 0.007922
3.167348, 0.032249, 0.007692
3.192965, 0.030623, 0.007486
3.218629, 0.029248, 0.007309
3.244341, 0.028102, 0.007162
3.270102, 0.027167, 0.007047
3.295911, 0.026424, 0.006964
3.321769, 0.025854, 0.006910
3.347676, 0.025443, 0.006886
3.373632, 0.025179, 0.006890
3.399636, 0.025050, 0.006921
3.425690, 0.025046, 0.006978
3.451793, 0.025157, 0.007060
3.477946, 0.025376, 0.007167
3.504149, 0.025695, 0.007299
3.530401, 0.026108, 0.007456
3.556703, 0.026610, 0.007637
3.583055, 0.027200, 0.007842
3.609457, 0.027877, 0.008073
3.635910, 0.028643, 0.008329
3.662413, 0.029501, 0.008611
3.688966, 0.030455, 0.008923
3.715571, 0.031512, 0.009266
3.742226, 0.032680, 0.009642
3.768933, 0.033969, 0.010055
3.795690, 0.035388, 0.010509
3.822499, 0.036945, 0.011006
3.849360, 0.038645, 0.011547
3.876272, 0.040486, 0.012132
3.903236, 0.042461, 0.012760
3.930252, 0.044558, 0.013425
3.957320, 0.046757, 0.014121
3.984440, 0.049035, 0.014840
4.011613, 0.051366, 0.015575
4.038838, 0.053726, 0.016317
4.066116, 0.056094, 0.017060
4.093446, 0.058453, 0.017800
4.120830, 0.060792, 0.018535
4.148267, 0.063104, 0.019264
4.175757, 0.065381, 0.019987
4.203301, 0.067619, 0.020706
4.230898, 0.069813, 0.021423
4.258550, 0.071958, 0.022141
4.286255, 0.074053, 0.022860
4.314014, 0.076096, 0.023582
4.341827, 0.078089, 0.024307
4.369695, 0.080032, 0.025031
4.397618, 0.081922, 0.025752
4.425595, 0.083751, 0.026463
4.453627, 0.085507, 0.027155
4.481714, 0.087178, 0.027818
4.509857, 0.088752, 0.028443
4.538054, 0.090228, 0.029021
4.566308, 0.091611, 0.029550
4.594617, 0.092912, 0.030031
4.622982, 0.094138, 0.030465
4.651403, 0.095296, 0.030859
4.679880, 0.096389, 0.031216
4.708414, 0.097418, 0.031540
4.737004, 0.098385, 0.031834
4.765651, 0.099291, 0.032102
4.794355, 0.100144, 0.032349
4.823116, 0.100958, 0.032580
4.851934, 0.101750, 0.032803
4.880809, 0.102538, 0.033026
4.909742, 0.103339, 0.033254
4.938733, 0.104169, 0.033490
4.967782, 0.105046, 0.033738
4.996889, 0.105994, 0.033996
5.026054, 0.107036, 0.034264
5.055277, 0.108197, 0.034544
5.084559, 0.109504, 0.034837
5.113900, 0.110979, 0.035149
5.143300, 0.112644, 0.035488
5.172759, 0.114516, 0.035865
5.202277, 0.116599, 0.036289
5.231855, 0.118887, 0.036770
5.261493, 0.121355, 0.037313
5.291190, 0.123961, 0.037922
5.320948, 0.126655, 0.038595
5.350766, 0.129386, 0.039331
5.380644, 0.132108, 0.040128
5.410582, 0.134792, 0.040989
5.440582, 0.137423, 0.041918
5.470642, 0.140004, 0.042924
5.500764, 0.142554, 0.044018
5.530947, 0.145093, 0.045216
5.561191, 0.147638, 0.046532
5.591498, 0.150191, 0.047972
5.621866, 0.152737, 0.049533
5.652296, 0.155252, 0.051200
5.682789, 0.157719, 0.052945
5.713343, 0.160131, 0.054732
5.743961, 0.162488, 0.056520
5.774642, 0.164787, 0.058275
5.805385, 0.167013, 0.059970
5.836192, 0.169141, 0.061591
5.867062, 0.171144, 0.063132
5.897996, 0.173010, 0.064603
5.928994, 0.174751, 0.066021
5.960056, 0.176402, 0.067417
5.991182, 0.178019, 0.068820
6.022372, 0.179667, 0.070262
6.053627, 0.181429, 0.071766
6.084947, 0.183401, 0.073350
6.116332, 0.185697, 0.075023
6.147782, 0.188450, 0.076785
6.179298, 0.191783, 0.078625
6.210879, 0.195790, 0.080522
6.242527, 0.200503, 0.082442
6.274240, 0.205883, 0.084347
6.306019, 0.211827, 0.086198
6.337865, 0.218208, 0.087966
6.369778, 0.224910, 0.089637
6.401758, 0.231868, 0.091218
6.433804, 0.239093, 0.092729
6.465918, 0.246661, 0.094205
6.498100, 0.254691, 0.095683
6.530349, 0.263310, 0.097201
6.562666, 0.272636, 0.098792
6.595052, 0.282766, 0.100476
6.627505, 0.293800, 0.102256
6.660028, 0.305856, 0.104107
6.692619, 0.319098, 0.105971
6.725279, 0.333751, 0.107755
6.758009, 0.350099, 0.109348
6.790808, 0.368441, 0.110633
6.823676, 0.389014, 0.111500
6.856615, 0.411904, 0.111846
6.889624, 0.436991, 0.111585
6.922703, 0.463964, 0.110665
6.955853, 0.492366, 0.109098
6.989073, 0.521591, 0.106962
7.022365, 0.550833, 0.104368
7.055728, 0.579028, 0.101431
7.089162, 0.604866, 0.098247
7.122668, 0.626952, 0.094902
7.156246, 0.644075, 0.091479
7.189897, 0.655489, 0.088068
7.223619, 0.661083, 0.084760
7.257415, 0.661401, 0.081646
7.291283, 0.657538, 0.078809
7.325225, 0.650928, 0.076313
7.359239, 0.643053, 0.074194
7.393328, 0.635182, 0.072455
7.427490, 0.628251, 0.071070
7.461727, 0.622874, 0.069987
7.496037, 0.619405, 0.069146
7.530423, 0.618026, 0.068487
7.564883, 0.618814, 0.067969
7.599418, 0.621803, 0.067565
7.634029, 0.627005, 0.067268
7.668715, 0.634391, 0.067084
7.703477, 0.643844, 0.067020
7.738314, 0.655132, 0.067084
7.773229, 0.667958, 0.067277
7.808220, 0.682071, 0.067596
7.843287, 0.697388, 0.068037
7.878432, 0.714045, 0.068592
7.913654, 0.732365, 0.069258
7.948953, 0.752819, 0.070030
7.984331, 0.775999, 0.070910
8.019786, 0.802553, 0.071911
8.055320, 0.833031, 0.073064
8.090933, 0.867629, 0.074418
8.126624, 0.905868, 0.076040
8.162394, 0.946193, 0.078000
8.198244, 0.985614, 0.080361
8.234174, 1.019638, 0.083159
8.270183, 1.042815, 0.086391
8.306273, 1.049989, 0.090014
8.342443, 1.037885, 0.093939
8.378694, 1.006268, 0.098042
8.415025, 0.957961, 0.102170
8.451438, 0.897785, 0.106162
8.487933, 0.831100, 0.109863
8.524509, 0.762671, 0.113139
8.561168, 0.696080, 0.115894
8.597909, 0.633643, 0.118091
8.634732, 0.576623, 0.119763
8.671639, 0.525517, 0.121014
8.708629, 0.480325, 0.121998
8.745702, 0.440739, 0.122902
8.782859, 0.406283, 0.123925
8.820100, 0.376404, 0.125254
8.857425, 0.350523, 0.127056
8.894835, 0.328064, 0.129469
8.932330, 0.308470, 0.132591
8.969910, 0.291221, 0.136453
9.007575, 0.275864, 0.140993
9.045327, 0.262023, 0.146032
9.083164, 0.249391, 0.151297
9.121088, 0.237728, 0.156515
9.159098, 0.226851, 0.161499
9.197196, 0.216640, 0.166186
9.235380, 0.207017, 0.170624
9.273653, 0.197926, 0.174931
9.312013, 0.189313, 0.179256
9.350461, 0.181130, 0.183742
9.388998, 0.173364, 0.188514
9.427624, 0.166034, 0.193685
9.466338, 0.159168, 0.199367
9.505142, 0.152765, 0.205680
9.544036, 0.146787, 0.212764
9.583020, 0.141178, 0.220778
9.622094, 0.135879, 0.229882
9.661259, 0.130852, 0.240221
9.700515, 0.126090, 0.251947
9.739862, 0.121619, 0.265239
9.779300, 0.117468, 0.280295
9.818831, 0.113649, 0.297272
9.858454, 0.110147, 0.316123
9.898169, 0.106931, 0.336334
9.937977, 0.103974, 0.356603
9.977879, 0.101253, 0.374751
10.017874, 0.098760, 0.388100
10.057963, 0.096501, 0.394219
10.098146, 0.094490, 0.391691
10.138423, 0.092736, 0.380559
10.178796, 0.091234, 0.362316
10.219264, 0.089957, 0.339409
10.259827, 0.088861, 0.314421
10.300486, 0.087893, 0.289388
10.341241, 0.087020, 0.265594
10.382093, 0.086241, 0.243733
10.423042, 0.085569, 0.224119
10.464088, 0.085017, 0.206792
10.505232, 0.084586, 0.191611
10.546473, 0.084272, 0.178357
10.587813, 0.084068, 0.166808
10.629252, 0.083960, 0.156758
10.670789, 0.083930, 0.148006
10.712426, 0.083970, 0.140367
10.754163, 0.084090, 0.133694
10.796000, 0.084313, 0.127894
10.837937, 0.084655, 0.122906
10.879975, 0.085103, 0.118667
10.922114, 0.085625, 0.115084
10.964355, 0.086181, 0.112049
11.006697, 0.086744, 0.109452
11.049142, 0.087313, 0.107212
11.091689, 0.087929, 0.105294
11.134340, 0.088645, 0.103692
11.177094, 0.089483, 0.102390
11.219951, 0.090428, 0.101343
11.262913, 0.091441, 0.100496
11.305979, 0.092498, 0.099799
11.349150, 0.093600, 0.099230
11.392427, 0.094773, 0.098788
11.435809, 0.096037, 0.098480
11.479297, 0.097379, 0.098291
11.522892, 0.098762, 0.098184
11.566593, 0.100151, 0.098118
11.610402, 0.101536, 0.098078
11.654318, 0.102939, 0.098080
11.698342, 0.104402, 0.098157
11.742475, 0.105960, 0.098321
11.786717, 0.107617, 0.098555
11.831067, 0.109357, 0.098830
11.875528, 0.111175, 0.099141
11.920098, 0.113101, 0.099518
11.964779, 0.115192, 0.099999
12.009571, 0.117481, 0.100608
12.054474, 0.119962, 0.101332
12.099488, 0.122600, 0.102146
12.144615, 0.125360, 0.103037
12.189854, 0.128195, 0.103992
12.235207, 0.131038, 0.104991
12.280672, 0.133835, 0.106013
12.326252, 0.136594, 0.107072
12.371945, 0.139384, 0.108229
12.417754, 0.142278, 0.109551
12.463677, 0.145301, 0.111071
12.509716, 0.148416, 0.112770
12.555871, 0.151542, 0.114587
12.602142, 0.154579, 0.116434
12.648530, 0.157444, 0.118232
12.695035, 0.160101, 0.119944
12.741658, 0.162568, 0.121573
12.788399, 0.164884, 0.123137
12.835259, 0.167090, 0.124644
12.882238, 0.169227, 0.126101
12.929336, 0.171310, 0.127526
12.976555, 0.173305, 0.128926
13.023894, 0.175151, 0.130285
13.071353, 0.176788, 0.131572
